Name,Category,Destination,Description,Latitude,Longitude,Reviews,Google Rating(out of 5)
Starbucks Paledecz,Cafe,Busan,This Starbucks is at an excellent location at Haeundae beach,35.1601697,129.1661125,https://www.tripadvisor.com/Restaurant_Review-g297884-d3864295-Reviews-Starbucks_Paledecz-Busan.html,4.5
Blackup Coffee,Cafe,Busan,"Excellent hand drip coffee,Different type of hand drip and sample available for tasting ",35.1561947,129.0600734,https://www.tripadvisor.com/Restaurant_Review-g297884-d8922258-Reviews-Blackup_Coffee-Busan.html,4.5
Carin Yeongdo Place,Cafe,Busan,This is a nice quite cafe with an amazing view,35.0907903,129.0630589,https://www.tripadvisor.com/Restaurant_Review-g297884-d13651595-Reviews-Carin_Yeongdo_Place-Busan.html,5
Momos Coffee,Cafe,Busan,"Momos Coffee, a roastery and coffee house that represents Busan",35.2207094,129.0870769,https://www.tripadvisor.com/Restaurant_Review-g297884-d9415927-Reviews-Momos_Coffee-Busan.html,4.5
Park Hyatt Busan,Hotels ,Busan,"This luxurious hotel is located in the Haeundae Beach area and offers stunning ocean views. The hotel features a fitness center, spa, and several dining options.",35.1565227,129.1418521,https://www.tripadvisor.com/Hotel_Review-g297884-d3813531-Reviews-Park_Hyatt_Busan-Busan.html,4.5
Lotte Hotel Busan,Hotels ,Busan,"This upscale hotel is located in the Seomyeon area and offers spacious rooms and suites with modern amenities. The hotel features a fitness center, pool, and several dining options.",35.1569065,129.0555145,https://www.tripadvisor.com/Hotel_Review-g297884-d306067-Reviews-Lotte_Hotel_Busan-Busan.html,4.5
Hilton Busan,Hotels ,Busan,"This luxurious hotel is located in the Gijang area and offers stunning ocean views. The hotel features a fitness center, pool, and several dining options.",35.1998856,129.2240962,https://www.tripadvisor.com/Hotel_Review-g297884-d12369399-Reviews-Ananti_Hilton_Busan-Busan.html,4
Shilla Stay Haeundae,Hotels ,Busan,"This modern hotel is located near Haeundae Beach and offers stylish rooms with great views. The hotel features a fitness center, rooftop terrace, and several dining options.",35.1602523,129.1578774,https://www.tripadvisor.com/Hotel_Review-g297884-d12242451-Reviews-Shilla_Stay_Haeundae-Busan.html,4.5
Paradise Hotel Busan,Hotels ,Busan,"This upscale hotel is located in the Haeundae Beach area and offers spacious rooms and suites with modern amenities. The hotel features a fitness center, pool, and several dining options.",35.10278,129.04028,https://www.tripadvisor.com/Hotel_Review-g297884-d302440-Reviews-Paradise_Hotel_Busan-Busan.html#REVIEWS,4.5
Grand Josun Busan,Hotels ,Busan,This modern hotel is located near Haeundae Beach and offers comfortable rooms with ocean views. ,35.16665,129.16792,https://www.tripadvisor.com/Hotel_Review-g297884-d21276662-Reviews-Grand_Josun_Busan-Busan.html#REVIEWS,4.5
The Westin Josun Busan,Hotels ,Busan,The Westin Josun is arguably the best hotel in Busan. It's location at the head of Haeundae Beach and besides the beautiful APEC peninsula,35.1604923,129.148845,https://www.tripadvisor.com/Hotel_Review-g297884-d301816-Reviews-The_Westin_Josun_Busan-Busan.html,4.5
Hotel Nongshim,Hotels ,Busan,"This upscale hotel is located in the Dongnae area and features a traditional Korean design. The hotel offers a fitness center, pool, and several dining options.",35.2204749,129.08282,https://www.tripadvisor.com/Hotel_Review-g297884-d456134-Reviews-Hotel_Nongshim-Busan.html,4
Hotel Noah,Hotels ,Busan, This boutique hotel is located in the Seomyeon area and offers stylish rooms with modern amenities. The hotel features a fitness center and a rooftop terrace.,35.0976337,129.0294134,https://www.tripadvisor.com/Hotel_Review-g297884-d6622376-Reviews-Hotel_Noah-Busan.html,4
Stanford Inn Busan,Hotels ,Busan,This budget-friendly hotel is located in the Seomyeon area and offers simple but comfortable rooms. The hotel features a fitness center and a rooftop terrace.,35.0982176,129.0307167,https://www.tripadvisor.com/Hotel_Review-g297884-d12726666-Reviews-Stanford_Inn_Busan-Busan.html,4.5
Choryang Milmyeon,Restaurants,Busan,This is a restaurant that is considered not only by foreign tourists but also by locals as one of the best places to eat in Busan ,35.1171158,129.0406913,https://www.tripadvisor.com/Restaurant_Review-g297884-d7930328-Reviews-Choryang_Milmyeon-Busan.html,4
Haeundae Wonjo Halmae Gukbab,Restaurants,Busan,"Wonjo Halmae Gukbab is located near Haeundae beach with a famous dish that many tourists love when visiting, which is gukbap with a history of 50 years. ",35.1626549,129.1609242,https://www.tripadvisor.com/Restaurant_Review-g297884-d10137332-Reviews-Haeundae_Wonjo_Halmae_Gukbab-Busan.html,4
Boksoondoga F1963,Restaurants,Busan,"If you are a follower of Buddhism and want to find vegetarian dishes during your trip to Busan, then Boksoondoga F1963 is the ideal destination for you. ",35.1771098,129.1155767,https://www.tripadvisor.com/Restaurant_Review-g297884-d12799781-Reviews-Boksoondoga_F1963-Busan.html,5
Boi Brasil,Restaurants,Busan,This European-style restaurant is famous for its unique steaks. ,35.10278,129.04028,https://www.tripadvisor.com/ShowUserReviews-g297884-d4171344-r844483903-Boi_Brasil-Busan.html,4.5
Anga,Restaurants,Busan,"Rated as the best barbecue restaurant in Busan,The entire restaurant space is designed with wood and each table is equipped with a modern grill in the typical style of a Korean BBQ restaurant. ",35.1648283,129.1693152,https://www.tripadvisor.com/Restaurant_Review-g297884-d4033780-Reviews-Anga-Busan.html,4.5
Bornga,Restaurants,Busan,"Bornga is a world famous charcoal barbecue restaurant at the heart of BIFF Square in Busan. This Busan restaurant is famous for its quality of ingredients, hygiene and affordable prices. ",35.0979462,129.0293044,https://www.tripadvisor.com/Restaurant_Review-g297884-d16954838-Reviews-Bornga-Busan.html,3.5
Obanjang,Restaurants,Busan,"Obanjang is a delicious barbecue restaurant in Busan that won the hearts of not only locals but also tourists. Every time they come to the restaurant, diners praise the quality of service and food. ",35.1612314,129.1589895,https://www.tripadvisor.com/Restaurant_Review-g297884-d7234293-Reviews-Obanjang-Busan.html,4
Nampo Samgyetang,Restaurants,Busan,This restaurant was popular  and they proudly displayed their long existence since 1962 ( on the sign-boards outside).,35.0987054,129.0315394,https://www.tripadvisor.com/Restaurant_Review-g297884-d4032732-Reviews-Nampo_Samgyetang-Busan.html,4
Spain Club - Busan Haeundae,Restaurants,Busan,This place is famous for different type of spain food and also variety of wines,35.10278,129.04028,https://www.tripadvisor.com/Restaurant_Review-g297884-d7618196-Reviews-Spain_Club_Busan_Haeundae-Busan.html,4
Namaste Haeundae,Restaurants,Busan,This place is famous for authentic Indian food and it is located near Haeundae,35.1799528,129.0752365,https://www.tripadvisor.com/Restaurant_Review-g297884-d4166622-Reviews-Namaste_Haeundae-Busan.html,5
